Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL
2010-01-04,HCLTECH,408037,,209869,28.28,54.88,94.06,Low,Low,,Medium,-0.99,-0.82,-1.27,77.95,64.57,13.38000000000001,High,,Neutral,Medium,Medium,High,,371.1,,371.6,,0.5,-1.17,,137800.0,-0.01,371.3,374.25,375.0,368.05,371.38,1426100.0,2010-01-28,,Undecisive,,,6.95,,,,,,,Neutral,,,,,,,,,0.0,,,0.0,0.0,,,False,,,False,,12.919113135549058,,,,,,,False
2010-01-05,HCLTECH,1259474,,627620,101.59,164.58,62.0,Medium,Medium,,Medium,-0.63,-0.48,-1.27,49.61,37.8,11.810000000000002,Medium,8.35,Low Supply,High,Very High,High,,379.45,8.699999999999989,380.3,0.08999999999999986,0.8500000000000227,-0.93,,321100.0,-0.01,371.1,372.5,381.0,370.55,376.54,1747200.0,2010-01-28,,LongBuildUp,8.9,1.55,10.45,False,0.0,NoSwipe,Bullish,0.022251267783370388,8.349999999999966,Low Supply,,,,,,,,,0.14,,Buy,0.18000000000000682,0.04,8.9,8.9,False,1.55,1.55,False,8.349999999999966,14.046204731449384,117.28580950760188,,6.629751785269061e-06,,,,False
2010-01-06,HCLTECH,998080,,404716,54.88,115.25,110.0,Low,Low,,Medium,-0.82,-0.59,-1.27,64.57,46.46,18.109999999999992,High,-11.45,Low Demand,High,High,Very High,,368.0,-11.400000000000034,368.9,0.020000000000000018,0.8999999999999773,-0.42,,-10400.0,-0.01,379.45,380.1,382.9,365.0,374.83,1736800.0,2010-01-28,,LongUnwinding,3.0,14.9,17.9,True,0.52,CandleHighSwipe,Bearish,-0.030639897680990735,-11.449999999999989,Low Demand,,,,,,,,,-0.12,,Sell,-0.11000000000001364,0.01,4.97,5.81,False,10.45,8.74,True,-11.449999999999989,13.813588712401575,-158.1655907569979,,-1.1472026290477705e-05,,,,False
2010-01-07,HCLTECH,916485,,484180,69.33,104.84,51.22,Low,Low,,Medium,-0.75,-0.62,-1.27,59.06,48.82,10.240000000000002,Medium,-7.85,Low Demand,High,High,Medium,,360.15,-7.299999999999954,361.6,0.1499999999999999,1.4500000000000455,-0.78,,40300.0,-0.01,368.0,371.9,371.9,359.2,362.19,1777100.0,2010-01-28,,ShortBuildUp,0.95,11.75,12.7,False,0.0,NoSwipe,Bearish,-0.02156232683355963,-7.850000000000023,Low Demand,,,,,,,,,-0.44,,Sell,-0.5400000000000205,-0.1,2.67,4.03,False,11.19,9.9,True,-7.850000000000023,13.72830097951585,-107.76716268919974,,-8.565333857073518e-06,,,,False
2010-01-08,HCLTECH,1560373,,802159,164.58,252.78,53.59,Medium,Medium,,Medium,-0.48,-0.36,-1.27,37.8,28.35,9.449999999999996,Medium,-8.4,Low Demand,Very High,Very High,High,,351.75,-8.75,352.85,-0.08999999999999986,1.1000000000000227,-0.71,,414700.0,-0.01,360.15,363.0,363.0,349.25,352.34,2191800.0,2010-01-28,,ShortBuildUp,2.5,11.25,13.75,False,0.0,NoSwipe,Bearish,-0.023599915340873245,-8.399999999999977,Low Demand,,,,,,,,,-0.78,,Sell,-1.079999999999984,-0.3,2.58,3.59,False,11.22,10.32,True,-8.399999999999977,14.26043545320936,-119.7876578069583,,-5.383328217035271e-06,,,,False
2010-01-11,HCLTECH,1435583,,784411,159.18,209.76,31.78,Medium,Medium,,Medium,-0.49,-0.41,-1.27,38.58,32.28,6.299999999999997,Medium,3.5,Low Supply,Very High,Very High,Medium,,355.25,2.9499999999999886,355.8,-0.16000000000000003,0.5500000000000114,-0.98,,-16900.0,-0.01,351.75,351.8,361.5,351.8,357.24,2174900.0,2010-01-28,,ShortCovering,3.45,6.25,9.7,False,0.0,,Bullish,0.009901070982711424,3.5,Low Supply,,,,,,,,,-0.75,,Sell,-1.240000000000009,-0.49,3.03,3.56,False,8.66,9.24,False,3.5,14.177081596446829,49.619785587563904,,2.4380338858846893e-06,,,,False
2010-01-12,HCLTECH,2262867,,935688,252.78,1487.5,488.46,Medium,High,,Low,-0.36,-0.08,-1.27,28.35,6.3,22.05,High,12.6,Low Supply,Very High,Very High,Very High,,367.85,11.050000000000011,366.85,-0.43999999999999995,-1.0,-0.36,,-297700.0,-0.01,355.25,357.0,373.8,355.0,368.4,1877200.0,2010-01-28,,ShortCovering,12.85,5.95,18.8,False,0.0,NoSwipe,Bullish,0.03485347940106376,12.600000000000023,Low Supply,,,,,,,,,-0.22,,Sell,-0.7599999999999909,-0.54,8.02,5.5,True,7.28,8.46,False,12.600000000000023,14.632143151346359,184.36500370696444,,5.56815756295002e-06,,,,False
2010-01-13,HCLTECH,2016126,,520348,76.39,605.56,692.72,Low,High,,Medium,-0.72,-0.18,-1.27,56.69,14.17,42.519999999999996,Very High,10.1,Low Supply,High,Very High,Very High,,377.95,11.899999999999975,378.75,0.4900000000000002,0.8000000000000114,-0.35,,-58500.0,-0.01,367.85,367.85,379.0,360.1,372.06,1818700.0,2010-01-28,,ShortCovering,17.85,1.05,18.9,False,0.0,NoSwipe,Bullish,0.027086665359911777,10.099999999999966,Low Supply,,,,,,,,,0.48,,Buy,0.060000000000002274,-0.42,12.97,7.8,True,4.14,6.86,False,10.099999999999966,14.516688406220352,146.61855290282506,,5.009607534449715e-06,,,,False
2010-01-14,HCLTECH,1940811,,798884,164.58,504.76,206.7,Medium,High,,Medium,-0.48,-0.21,-1.27,37.8,16.54,21.259999999999998,High,-7.85,Low Demand,Very High,Very High,Very High,,370.1,-7.199999999999989,371.55,0.18000000000000016,1.4499999999999886,-0.4,,241800.0,-0.01,377.95,379.9,383.75,365.6,372.17,2060500.0,2010-01-28,,ShortBuildUp,4.5,13.65,18.15,True,1.28,CandleOpenHighSwipe,Bearish,-0.02098867234607482,-7.849999999999966,Low Demand,,,,,,,,,0.53,,Buy,0.2400000000000091,-0.29,8.72,7.24,True,8.91,8.23,True,-7.849999999999966,14.47861648492173,-113.65713940663508,,-4.044700900808974e-06,,,,False
2010-01-15,HCLTECH,687333,,163808,23.3,78.87,238.5,Low,Low,,Medium,-1.03,-0.71,-1.27,81.1,55.91,25.189999999999998,High,-0.7,Low Demand,Low,High,Very High,,369.4,-1.3500000000000227,370.2,-0.16999999999999998,0.8000000000000114,-1.12,,22100.0,-0.01,370.1,371.5,373.9,366.15,370.37,2082600.0,2010-01-28,,ShortBuildUp,3.25,4.5,7.75,False,0.0,,Bearish,-0.001893171626971224,-0.7000000000000455,Low Demand,,,,,,,,,0.49,,Buy,0.3299999999999841,-0.16,5.98,6.61,False,6.7,7.52,False,-0.7000000000000455,13.440574169924762,-9.408401918947945,,-1.0184292038939575e-06,,,,False
