Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL
2010-01-04,BPCL,714541,,246857,151.11,91.53,39.43,Low,Low,,Very High,-0.45,-0.59,-1.13,39.82,52.21,-12.39,High,,Neutral,High,High,Medium,,650.75,,652.95,,2.2000000000000455,1.08,,223300.0,-0.0,635.55,635.55,657.6,632.0,649.6,1935450.0,2010-01-28,,Undecisive,,,25.6,,,,,,,Neutral,,,,,,,,,0.0,,,0.0,0.0,,,False,,,False,,13.479395657490894,,,,,,,False
2010-01-05,BPCL,804812,,448327,182.5,98.25,46.16,Low,Low,,Very High,-0.4,-0.57,-1.13,35.4,50.44,-15.04,High,-9.8,Low Demand,High,High,Medium,,640.95,-9.300000000000068,643.65,0.09000000000000008,2.699999999999932,0.23,,45100.0,-0.0,650.75,656.45,656.45,639.2,642.94,1980550.0,2010-01-28,,ShortBuildUp,1.75,15.5,17.25,False,0.0,,Bearish,-0.015174093116530507,-9.799999999999955,Low Demand,,,,,,,,,-0.18,,Sell,-0.2199999999999136,-0.04,1.75,1.75,False,15.5,15.5,False,-9.799999999999955,13.59836398875323,-133.26396708978103,,-1.217675680780102e-05,,,,False
2010-01-06,BPCL,971566,,690574,242.42,109.26,54.93,Medium,Low,,Very High,-0.33,-0.54,-1.13,29.2,47.79,-18.59,High,-9.65,Low Demand,Very High,Very High,Medium,,631.3,-9.449999999999932,634.2,0.040000000000000036,2.900000000000091,0.54,,126500.0,-0.0,640.95,642.0,648.4,628.1,634.25,2107050.0,2010-01-28,,ShortBuildUp,3.2,17.1,20.3,False,0.0,NoSwipe,Bearish,-0.015170265384564452,-9.650000000000091,Low Demand,,,,,,,,,-0.43,,Sell,-0.5800000000000409,-0.15,2.72,2.51,True,16.57,16.36,True,-9.650000000000091,13.786664481673236,-133.041312248148,,-9.932418384340427e-06,,,,False
2010-01-07,BPCL,922792,,622965,222.86,105.45,52.68,Medium,Low,,Very High,-0.35,-0.55,-1.13,30.97,48.67,-17.700000000000003,High,-12.25,Low Demand,Very High,Very High,Medium,,619.05,-12.300000000000068,621.9,0.0,2.8500000000000227,0.84,,104500.0,-0.0,631.3,631.0,637.35,614.1,623.4,2211550.0,2010-01-28,,ShortBuildUp,4.95,18.3,23.25,False,0.0,NoSwipe,Bearish,-0.019595140506878828,-12.25,Low Demand,,,,,,,,,-0.82,,Sell,-1.169999999999959,-0.35,3.99,3.4,True,17.56,17.11,True,-12.25,13.73515913597671,-168.2556994157147,,-1.3274930861992736e-05,,,,False
2010-01-08,BPCL,572148,,332958,162.79,85.25,47.63,Low,Low,,Very High,-0.43,-0.61,-1.13,38.05,53.98,-15.93,High,10.5,Low Supply,High,High,Medium,,629.55,10.300000000000068,632.2,-0.040000000000000036,2.650000000000091,0.2,,125400.0,-0.0,619.05,619.0,635.95,619.0,630.41,2336950.0,2010-01-28,,LongBuildUp,10.55,6.4,16.95,False,0.0,,Bullish,0.016819233581008675,10.5,Low Supply,,,,,,,,,-0.56,,Sell,-1.0500000000000682,-0.49,7.49,5.45,True,11.61,13.79,False,10.5,13.257152978152929,139.20010627060574,,1.8351894964240023e-05,,,,False
2010-01-11,BPCL,499935,,272527,151.11,82.26,45.56,Low,Low,,Very High,-0.45,-0.62,-1.13,39.82,54.87,-15.049999999999997,High,-1.65,Low Demand,High,High,Medium,,627.9,-1.7000000000000457,630.5,-0.010000000000000009,2.6000000000000227,0.25,,52800.0,-0.0,629.55,633.0,642.0,624.6,632.42,2389750.0,2010-01-28,,ShortBuildUp,3.3,14.1,17.4,True,0.96,CandleHighSwipe,Bearish,-0.0026243603276459027,-1.6499999999999773,Low Demand,,,,,,,,,-0.43,,Sell,-1.0299999999999727,-0.6,5.33,4.94,True,12.89,13.87,False,-1.6499999999999773,13.122233368953596,-21.651685058773136,,-3.3004290557772055e-06,,,,False
2010-01-12,BPCL,716871,,407110,175.61,94.83,46.0,Low,Low,,High,-0.41,-0.58,-1.13,36.28,51.33,-15.049999999999997,High,-0.35,Low Demand,High,High,Medium,,627.55,-1.2999999999999543,629.2,-0.15,1.650000000000091,0.24,,26950.0,-0.0,627.9,628.5,638.9,621.6,629.73,2416700.0,2010-01-28,,ShortBuildUp,5.95,11.35,17.3,True,0.48,CandleLowSwipe,Bearish,-0.0005575690136083722,-0.35000000000002274,Low Demand,,,,,,,,,-0.33,,Sell,-1.009999999999991,-0.68,5.64,5.15,True,12.11,13.27,False,-0.35000000000002274,13.482651187076884,-4.718927915477216,,-4.882328898784059e-07,,,,False
2010-01-13,BPCL,803284,,276302,151.11,98.25,34.98,Low,Low,,Very High,-0.45,-0.57,-1.13,39.82,50.44,-10.619999999999997,High,2.25,Low Supply,High,High,Low,,629.8,3.5,632.7,0.20000000000000007,2.900000000000091,0.61,,40150.0,-0.0,627.55,632.0,642.45,621.5,633.1,2456850.0,2010-01-28,,LongBuildUp,8.3,12.65,20.95,True,0.56,BothHighLowSwipe,Bearish,0.003578959560469386,2.25,Low Supply,,,,,,,,,-0.16,,Sell,-0.8799999999999955,-0.72,6.98,5.74,True,12.38,13.14,False,2.25,13.596463604124626,30.592043109280407,,2.801001887252827e-06,,,,False
2010-01-14,BPCL,925226,,486189,189.74,105.45,44.42,Low,Low,,High,-0.39,-0.55,-1.13,34.51,48.67,-14.160000000000004,High,-4.0,Low Demand,Very High,Very High,Medium,,625.8,-5.0,627.7,-0.15000000000000002,1.900000000000091,-0.02,,165000.0,-0.0,629.8,636.0,637.9,623.1,631.96,2621850.0,2010-01-28,,ShortBuildUp,2.7,12.1,14.8,False,0.0,,Bearish,-0.00637147743214328,-4.0,Low Demand,,,,,,,,,-0.2,,Sell,-0.9700000000000273,-0.77,4.83,5.22,False,12.24,12.93,False,-4.0,13.73779331097656,-54.95117324390624,,-4.323268044780411e-06,,,,False
2010-01-15,BPCL,480945,,282002,156.82,82.26,47.54,Low,Low,,Very High,-0.44,-0.62,-1.13,38.94,54.87,-15.93,High,-8.45,Low Demand,High,High,Medium,,617.35,-7.650000000000091,620.05,0.13000000000000012,2.699999999999932,0.26,,32450.0,-0.0,625.8,627.2,632.5,615.0,618.97,2654300.0,2010-01-28,,ShortBuildUp,2.35,15.15,17.5,False,0.0,NoSwipe,Bearish,-0.013594707221028735,-8.449999999999932,Low Demand,,,,,,,,,-0.55,,Sell,-1.4600000000000364,-0.91,3.59,4.77,False,13.7,13.35,True,-8.449999999999932,13.083508197435652,-110.55564426833037,,-1.7569576562808497e-05,,,,False
