Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength.1,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL,Market Structure,Liquidity,MarketMove,Swing,Trend,Swing%
2010-01-04,MRF,18735,,4960,344.74,266.07,22.82,Very High,Very High,,,0.38,0.56,-0.93,-40.86,-60.22,19.36,Very High,,Neutral,Very High,Very High,Medium,,6142.95,,,,,-0.94,,,0.0,6045.95,6081.0,6215.0,6032.0,6145.47,,,,,,,183.0,,,,,,,Neutral,,,,,,,,,0.0,,,0.0,0.0,,,False,,,False,,9.838148711227788,,,,,,,False,LL,LL Sweep,,,Downtrend,
2010-01-05,MRF,17947,,7189,202.2,286.0,41.44,Very High,Very High,,,0.91,0.5,-0.93,-97.85,-53.76,-44.09,Medium,17.65,Neutral,Very High,Very High,Medium,,6160.6,,,,,-1.0,,,0.0,6142.95,6200.0,6269.0,6150.0,6188.12,,,,,10.6,108.4,119.0,True,0.88,CandleHighSwipe,Bearish,0.0028690925964358,17.650000000000546,Neutral,,,,,,,,,0.32,,Buy,0.4000000000005457,0.08,10.6,10.6,False,108.4,108.4,False,17.650000000000546,9.795178249029275,172.88489609537208,,0.0009834512731933,,,,False,,,,,,
2010-01-06,MRF,10735,,3397,0.001,1062.5,,High,High,,,0.0,-0.08,-0.93,-0.0,8.6,-8.6,High,-70.2,Neutral,Low,Very High,,,6090.4,,,,,-0.97,,,0.0,6160.6,6180.0,6198.0,6055.0,6117.73,,,,,35.4,107.6,143.0,False,0.0,NoSwipe,Bearish,-0.0114604143896404,-70.20000000000073,Neutral,,,,,,,,,-1.4,,Sell,-1.6699999999991633,-0.27,27.13,23.59,True,107.87,107.97,False,-70.20000000000073,9.28126471031288,-651.544782663971,,-0.0065393572426642,,,,False,,,,,,
2010-01-07,MRF,42206,,8029,183.78,138.11,24.85,Very High,Very High,,,1.11,2.44,-0.93,-119.35,-262.37,143.02,Very High,125.8,Neutral,High,High,Medium,,6216.2,,,,,-0.91,,,0.0,6090.4,6249.9,6371.0,6151.0,6270.97,,,,,65.2,154.8,220.0,False,0.0,NoSwipe,Bearish,0.0204450265700515,125.80000000000018,Neutral,,,,,,,,,1.79,,Buy,1.9699999999993447,0.18,48.89,38.8,True,134.69,126.04,True,125.80000000000018,10.650317670012258,1339.809962887544,,0.002980618869355,,,,False,,,,,,
2010-01-08,MRF,11155,,2403,304.35,1760.0,478.28,Medium,High,,,-0.23,-0.05,-0.93,24.73,5.38,19.35,Very High,-49.35,Neutral,Very High,Very High,Very High,,6166.85,,,,,-0.97,,,0.0,6216.2,6243.3,6294.4,6150.0,6213.54,,,,,16.85,127.55,144.4,True,0.02,CandleLowSwipe,Bearish,-0.007970614875937,-49.349999999999454,Neutral,,,,,,,,,1.42,,Buy,1.949999999999818,0.53,31.8,32.51,False,130.88,126.51,True,-49.349999999999454,9.319643106866632,-459.9243873238632,,-0.0044240251008515,,,,False,,,,,,
2010-01-11,MRF,9387,,2370,287.5,389.47,35.47,Medium,High,,,-0.24,-0.19,-0.93,25.81,20.43,5.379999999999999,High,-8.25,Neutral,Very High,Very High,Medium,,6158.6,,,,,-1.01,,,0.0,6166.85,6199.0,6252.0,6150.0,6196.71,,,,,8.6,93.4,102.0,False,0.0,,Bearish,-0.0013386937161836,-8.25,Neutral,,,,,,,,,0.81,,Buy,1.5399999999999636,0.73,19.83,26.77,False,111.54,117.71,False,-8.25,9.147081032336992,-75.46341851678018,,-0.0008788750399488,,,,False,BoS,,BoS,,,
2010-01-12,MRF,7286,,2402,304.35,158.33,47.98,Medium,Medium,,,-0.23,-0.36,-0.93,24.73,38.71,-13.98,High,-74.25,Neutral,Very High,Very High,Medium,,6084.35,,,,,-0.98,,,0.0,6158.6,6194.4,6194.4,6060.0,6142.47,,,,,24.35,110.05,134.4,False,0.0,NoSwipe,Bearish,-0.0121295783032753,-74.25,Neutral,,,,,,,,,-2.28,,Sell,-2.1099999999996726,0.17,22.12,26.27,False,110.78,115.89,False,-74.25,8.89370997756851,-660.3579658344618,,-0.010190776832281,,,,False,,,,,,
2010-01-13,MRF,7550,,2007,181.82,173.53,4.56,Medium,Medium,,,-0.33,-0.34,-0.93,35.48,36.56,-1.0800000000000054,High,22.75,Neutral,High,Very High,Low,,6107.1,,,,,-1.01,,,0.0,6084.35,6085.0,6145.0,6048.0,6101.84,,,,,59.1,37.9,97.0,True,0.2,CandleLowSwipe,Bullish,0.0037321280744535,22.75,Neutral,,,,,,,,,-2.88,,Sell,-3.4400000000005093,-0.56,40.76,32.4,True,74.05,99.01,False,22.75,8.92930284224307,203.14163966102984,,0.0030132450331125,,,,False,,,,,,
2010-01-14,MRF,59564,,18496,125.91,124.28,1.29,Very High,Very High,,,3.59,3.83,-0.93,-386.02,-411.83,25.81,Very High,333.7,Neutral,High,High,Low,,6440.8,,,,,-0.79,,,0.0,6107.1,6167.8,6485.0,6131.15,6348.05,,,,,309.65,44.2,353.85,False,0.0,NoSwipe,Bullish,0.0532007272446595,333.6999999999998,Neutral,,,,,,,,,10.24,,Buy,12.25,2.01,175.73,79.64,True,59.07,87.96,False,333.6999999999998,10.994806643710096,3668.966977006057,,0.005602377274864,,,,False,HH,,,Swing 1,Uptrend,
2010-01-15,MRF,28721,,8687,173.81,168.38,3.12,Very High,Very High,,,1.26,1.36,-0.93,-135.48,-146.24,10.76000000000002,High,-34.7,Neutral,High,Very High,Low,,6406.1,,,,,-0.95,,,0.0,6440.8,6498.7,6549.5,6380.0,6455.9,,,,,26.1,143.4,169.5,True,1.01,CandleOpenHighSwipe,Bearish,-0.005402094573224,-34.69999999999982,Neutral,,,,,,,,,15.52,,Buy,21.410000000000764,5.89,100.77,71.19,True,101.32,98.52,True,-34.69999999999982,10.2653838414975,-356.20881929996136,,-0.0012081752028132,,,,False,BoS,,BoS,Swing 1,Uptrend,
